ID ECAO	Anatomical Structure	Type (is-a)	Part of	Develops from	Starts at stage	Ends at stage	Description	Synonyms	UBERON type	UBERON (non-exact)	Cell type (is-a)	Cell type (non-exact)	Pubmed id	Comments	XAO Type	Pliv comments	GeneOntology type	URCH specific	hasNoOnto	Taxon	Pubmed references	Reference	Time for P. lividus at 18ÃƒÂ‚Ã‚Â°C	stage preceded by	subset				
ECAO:0000220	56-cell stage		stage 7				The embryo is composed of 56 cells and is surrounded by a fertilization envelope.	56c													Formery et al., (in prep) Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ232. Berlin, Heidelberg: Springer Berlin Heidelberg. Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		5:30:00	32-cell stage	ecao_developmental_stage				
ECAO:0000230	60-cell stage		stage 7				The embryo is composed of 60 cells and is surrounded by a fertilization envelope.	60c													Formery et al., (in prep) Logan, C. Y. and McClay, D. R. (1999). Lineages That Give Rise to Endoderm and Mesoderm in the Sea Urchin Embryo. In Cell Lineage and Fate Determination (ed. Moody, S. A.), pp. 41ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ57. San Diego: Academic Press. Duboc, V., Rottinger, E., Besnardeau, L. and Lepage, T. (2004). Nodal and BMP2/4 signaling organizes the oral-aboral axis of the sea urchin embryo. Dev Cell 6, 397ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ410. Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ232. Berlin, Heidelberg: Springer Berlin Heidelberg. Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		5:50:00	56-cell stage	ecao_developmental_stage				
ECAO:0000240	blastula period		embryogenesis phase				The period that immediately follows cleavage and precedes gastrulation. It is characterized by the progressive maturation of the embryo into a hollow sphere, which is one cell layer thick and encompasses a central, fluid-filled cavity (the blastocoel). This period is associated with a gradual increase in cell cycle length and a loss of mitotic synchrony. During mitosis, cells round up and the wall of the blastula becomes irregular, while during interphase the cells flatten and the wall of the blastula appears smooth. During this period, the blastocoel gradually expands and becomes lined by a thin basal lamina. Cells in the wall of the blastula thereby become polarized; the inner (basal) surface of each cell contacts the basal lamina while the outer (apical) surface contacts the hyaline layer, an extracellular matrix that surrounds the embryo. Each cell further forms a single apical cilium. The onset of ciliary motility causes the blastula to move within the fertilization envelope and, after hatching, coordinated ciliary beating allows the embryo to swim freely. The blastula period culminates in the formation of the vegetal plate, a placode of elongated, presumptive endomesoderm cells. 		UBERON:0000307															cleavage period	ecao_developmental_stage				
ECAO:0000250	very early blastula stage		stage 8				The embryo is composed of about 100 cells and is surrounded by a fertilization envelope. All cells are about the same size and there are no obvious morphological indications of embryonic polarity or territories. The embryo has started to transform into a hollow sphere.	vEB, B1, 120-cell stage													Formery et al., (in prep) Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ232. Berlin, Heidelberg: Springer Berlin Heidelberg. Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		6:50:00	60-cell stage	ecao_developmental_stage				
ECAO:0000255	stage 8		blastula period				The embryo is an early blastula (early blastula stage).													NCBITaxon:7586				stage 7	ecao_developmental_stage				
ECAO:0000260	early blastula stage		stage 8				The embryo is composed of about 100-200 cells and is surrounded by a fertilization envelope. Most blastomeres have completed at least one additional mitotic division since the 60- or 64-cell stage. All cells are approximately the same size and there are no obvious morphological indications of the primary or secondary embryonic axes. All cells have begun to acquire an apical-basal polarity and the embryo is beginning to transform into a hollow sphere with a monolayered epithelial wall and a fluid-filled cavity (the blastocoel) in the center. 	EB, B2													Croce, J., Lhomond, G., Lozano, J. C. and Gache, C. (2001). ske-T, a T-box gene expressed in the skeletogenic mesenchyme lineage of the sea urchin embryo. Mech. Dev. 107, 159ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ162. Formery et al., (in prep) Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ232. Berlin, Heidelberg: Springer Berlin Heidelberg. Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		7:50:00	very early blastula stage	ecao_developmental_stage				
ECAO:0000265	stage 9		blastula period				The embryo is a mid-blastula (includes mid-blastula and motile blastula stages).													NCBITaxon:7586				stage 8	ecao_developmental_stage				
ECAO:0000270	mid-blastula stage		stage 9				The embryo is composed of about 200-500 cells and is surrounded by a fertilization envelope. Most cells have completed at least one additional mitotic division since the early blastula stage. The cell divisions are now less synchronous than at earlier stages. The embryo remains spherical in shape and one cell layer thick. It does not display any morphological indications of the embryonic axes or of the vegetal plate. The cells have started to flatten on their inner (basal) surface, further contributing to the enlargement of the blastocoel, which has expanded since the early blastula stage.	mid-B, midB, B3													Formery et al., (in prep) Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ232. Berlin, Heidelberg: Springer Berlin Heidelberg. Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		8:50:00	early blastula stage	ecao_developmental_stage				
ECAO:0000275	stage 10		blastula period				The embryo is a late blastula, it is still spherical, and the vegetal plate has not formed (late blastula stage).													NCBITaxon:7586				stage 9	ecao_developmental_stage				
ECAO:0000280	late blastula stage		stage 10				The embryo is composed of about 600-1000 cells. Most cells have completed at least one additional mitotic division since the mid-blastula stage and developed an apical cilium. The embryo is still spherical in shape and one cell layer thick. It still lacks obvious morphological landmarks of the embryonic axes and of the vegetal plate. Cells have further continued to flatten along the apical-basal axis, accentuating the enlargement of the blastocoel. They are also now joined to one another apically by septate and adherens junctions and laterally by desmosomes.	Late-B, LB, prehatched blastula, pre-HB, B4													Formery et al., (in prep) Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ232. Berlin, Heidelberg: Springer Berlin Heidelberg. Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		9:50:00	mid-blastula stage	ecao_developmental_stage				
